Last,Style,Name,Leather,Color,Outsole,Welt
TruBalance,Plain Toe,Brooks Brothers,Suede,Snuff,Plantation Crepe,360 Flat Welt
Modified,Plain Toe,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Modified,Plain Toe,,Shell Cordovan,Ravello,Single Leather,270 Flat Welt
Modified,Plain Toe,,Suede,Tan,Single Leather,270 Flat Welt
Modified,Plain Toe,,Suede,Snuff,Heavy Single Leather,270 Flat Welt
Modified,Indy,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Modified,Plain Toe,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Modified,Cap Toe,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Modified,Cap Toe,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Modified,Cap Toe,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Plaza,Chukka Slip-On,,Shell Cordovan,Color 8,Double Leather,360 Flat Welt
(no data),Chukka Slip-On,,Calfskin,Black,Double Leather,270 Flat Welt
379X,Chukka,,Suede,Brown,Plantation Crepe,360 Flat Welt
379X,Chukka,Item 90868,Suede,Tan,Plantation Crepe,360 Flat Welt
Modified,Chukka,,Calfskin,Brown,Double Leather,360 Pre-Stitched Reverse
(no data),Chukka,,Calfskin,Burgundy,Double Leather,360 Storm Welt
Barrie,Chukka,,Chromexcel,Black,Plantation Crepe,360 Pre-Stitched Reverse
Barrie,Chukka,,Shell Cordovan,Black,Double Leather,360 Pre-Stitched Reverse
Barrie,Chukka,,Calfskin,Black,Lug,360 Pre-Stitched Reverse
Barrie,Chukka,,Suede,Black,Goodyear,360 Pre-Stitched Reverse
Barrie,Chukka,,Kudu,Dark Brown,Lug,360 Pre-Stitched Reverse
Barrie,Chukka,,Suede,Dark Brown,Lug,360 Storm Welt
Barrie,Chukka,,Scotch Grain,Dark Brown,Lug,360 Storm Welt
Barrie,Chukka,,Scotch Grain,Brown,Lug,360 Storm Welt
Barrie,Chukka,,Suede,Sand,Double Leather,360 Pre-Stitched Reverse
Kendal,Chukka,,Shell Cordovan,Color 8,Single Leather,360 Pre-Stitched Reverse
Barrie,Chukka,,Scotch Grain,Dark Brown,Commando,360 Pre-Stitched Reverse
Barrie,Chukka,,Chromexcel,Natural,Commando,360 Pre-Stitched Reverse
Barrie,Chukka,,Shell Cordovan,Cigar,Double Leather,360 Storm Welt
Barrie,Chukka,,Shell Cordovan,Cigar,Commando,360 Pre-Stitched Reverse
Barrie,Chukka,,Shell Cordovan,Cigar,Double Leather,360 Pre-Stitched Reverse
Barrie,Chukka,,Suede,Black,Plantation Crepe,360 Pre-Stitched Reverse
Barrie,Chukka,,Calfskin,Brown,Commando,360 Pre-Stitched Reverse
Barrie,Chukka,,Suede,Snuff,Plantation Crepe,360 Pre-Stitched Reverse
Barrie,Chukka,,Suede,Snuff,Plantation Crepe,360 Pre-Stitched Reverse
Barrie,Chukka,,Shell Cordovan,Color 8,Double Leather,360 Flat Welt
Barrie,Chukka,,Shell Cordovan,Color 8,Double Leather,360 Storm Welt
Barrie,Chukka,Unionmade Stoneman,Shell Cordovan,Color 8,Commando,360 Pre-Stitched Reverse
Barrie,Chukka,,Shell Cordovan,Color 8,Commando,360 Storm Welt
Barrie,Chukka,,Shell Cordovan,Color 8,Single Leather,360 Pre-Stitched Reverse
Barrie,Chukka,,Shell Cordovan,Black,Double Leather,360 Pre-Stitched Reverse
Barrie,Chukka,,Shell Cordovan,Black,Double Leather,360 Pre-Stitched Reverse
Barrie,Chukka,,Shell Cordovan,Black,Commando,360 Storm Welt
Barrie,Chukka,,Shell Cordovan,Black,Double Leather,360 Pre-Stitched Reverse
Barrie,Chukka,,Shell Cordovan,Color 8,Plantation Crepe,360 Pre-Stitched Reverse
Barrie,Chukka,,Shell Cordovan,Black,Plantation Crepe,360 Pre-Stitched Reverse
Barrie,Chukka,,Shell Cordovan,Whiskey,Double Leather,360 Storm Welt
Barrie,Chukka,,Shell Cordovan,Whiskey,Double Leather,360 Pre-Stitched Reverse
(no data),Chukka,,Suede,Brown,Double Leather,360 Pre-Stitched Reverse
Barrie,Chukka,,Shell Cordovan,Color 8,Double Leather,360 Pre-Stitched Reverse
Barrie,Chukka,,Shell Cordovan,Color 8,Double Leather,360 Pre-Stitched Reverse
Barrie,Chukka,,Shell Cordovan,Mahogany,Double Leather,360 Pre-Stitched Reverse
Barrie,Chukka,,Shell Cordovan,Color 4,Double Leather,360 Pre-Stitched Reverse
