Last,Style,Name,Leather,Color,Outsole,Welt
Aberdeen,Full Strap,Brooks Brothers,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Calfskin,Dark Brown,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Calfskin,Burnished Tan,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Van,LHS / Penny,Brooks Brothers,Shell Cordovan,Black,Single Leather,360 Flat Welt
Van,LHS / Penny,Brooks Brothers,Shell Cordovan,Color 8,Single Leather,360 Flat Welt
Aberdeen,Full Strap,Brooks Brothers,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Copley,LHS / Penny,Brooks Brothers,Calfskin,Black,Single Leather,360 Flat Welt
Copley,LHS / Penny,,Calfskin,Burnished Tan,Single Leather,360 Flat Welt
Copley,LHS / Penny,Brooks Brothers,Suede,Dark Brown,Single Leather,360 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Suede,Dark Brown,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Calfskin,Brown,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Calfskin,Dark Burgundy,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Calfskin,Black,Single Leather,270 Flat Welt
Grant,Full Strap,Brooks Brothers,Calfskin,Dark Brown,Single Leather,270 Flat Welt
Grant,Full Strap,Brooks Brothers,Scotch Grain,Burgundy,Single Leather,270 Flat Welt
Grant,Full Strap,Brooks Brothers,Regina Grain,Black,Single Leather,270 Flat Welt
Grant,Full Strap,Brooks Brothers,Calfskin,Tan,Single Leather,270 Flat Welt
