Last,Style,Name,Leather,Color,Outsole,Welt
M75,Wing Tip Bal,Brooks Brothers,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
M58,Plain Toe Blucher,Brooks Brothers,Shell Cordovan,Color 8,Double Leather,360 Flat Welt
Snap,Straight Tip Blucher,Brooks Brothers,Calfskin,Black,Single Leather,270 Flat Welt
Snap,Straight Tip Blucher,Brooks Brothers,Shell Cordovan,Black,Single Leather,270 Flat Welt
Snap,Straight Tip Blucher,Brooks Brothers,Shell Cordovan,Color 8,Double Leather,270 Flat Welt
Snap,Straight Tip Blucher,Brooks Brothers,Calfskin,Brown,Single Leather,270 Flat Welt
Snap,Straight Tip Blucher,Brooks Brothers,Suede,Brown,Single Leather,270 Flat Welt
M75,Wing Tip Bal,Brooks Brothers,Calfskin,Black,Single Leather,270 Flat Welt
M58,Plain Toe Blucher,Brooks Brothers,Calfskin,Black,Double Leather,360 Flat Welt
M58,Plain Toe Blucher,Brooks Brothers,Calfskin,Brown,Double Leather,360 Flat Welt
M75,Wing Tip Bal,Brooks Brothers,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Monk Strap,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Medallion Tip Blucher,,Calfskin,Brown / White,Single Leather,270 Flat Welt
Aberdeen,Medallion Tip Blucher,,Shell Cordovan,Color 8,Double Leather,360 Flat Welt
Aberdeen,Medallion Tip Blucher,Brooks Brothers,Shell Cordovan,Black,Double Leather,360 Flat Welt
Snap,Straight Tip Blucher,Brooks Brothers,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Snap,Straight Tip Blucher,Brooks Brothers,Shell Cordovan,Black,Double Leather,270 Flat Welt
Snap,Straight Tip Blucher,Brooks Brothers,Shell Cordovan,Black,Double Leather,270 Flat Welt
Aberdeen,Norwegian Front Blucher,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Snap,Monk Strap,Brooks Brothers,Shell Cordovan,Black,Single Leather,270 Flat Welt
Snap,Monk Strap,Brooks Brothers,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
(no data),Straight Tip Blucher,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
M75,Wing Tip Bal,Brooks Brothers,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
M58,Plain Toe Blucher,Brooks Brothers,Shell Cordovan,Color 8,Double Leather,360 Pre-Stitched Reverse
Snap,Straight Tip Blucher,Brooks Brothers,Shell Cordovan,Black,Double Leather,270 Flat Welt
Snap,Straight Tip Blucher,Brooks Brothers,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
M75,Wing Tip Bal,Brooks Brothers,Shell Cordovan,Black,Single Leather,270 Flat Welt
M58,Plain Toe Blucher,Brooks Brothers,Shell Cordovan,Black,Double Leather,360 Flat Welt
Hampton,Perforated Straight Tip Bal,Brooks Brothers,Calfskin,Black,Single Leather,270 Flat Welt
Hampton,Perforated Straight Tip Bal,Brooks Brothers,Shell Cordovan,Black,Single Leather,270 Flat Welt
Hampton,Perforated Straight Tip Bal,Brooks Brothers,Calfskin,Burgundy,Single Leather,270 Flat Welt
Hampton,Medallion Tip Bal,Brooks Brothers,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Wing Tip Bal,Brooks Brothers,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Plain Toe Bal,Brooks Brothers,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Monk Strap,Brooks Brothers,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Straight Tip Blucher,Brooks Brothers,Calfskin,Black,Double Leather,270 Flat Welt
Aberdeen,Straight Tip Blucher,Brooks Brothers,Calfskin,Walnut,Double Leather,270 Flat Welt
Classic,Boat,,Calfskin,Bone,Rubber,360 Flat Welt
(no data),Straight Tip Bal,,Calfskin,Black,Single Leather,270 Flat Welt
(no data),Apron Toe Blucher,,Calfskin,Black,Double Leather,360 Flat Welt
(no data),Straight Tip Blucher,,Calfskin,Black,Double Leather,270 Flat Welt
(no data),Wing Tip Bal,,Calfskin,Black,Double Leather,360 Flat Welt
Hampton,Medallion Tip Blucher,,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Medallion Tip Blucher,,Calfskin,Burgundy,Single Leather,270 Flat Welt
